tag,ROC-AUC,PR-AUC
action,0.4993327995729917,0.014466070489216202
adventure,0.5,0.020515518148342977
advertising,0.5,0.0386638611257233
background,0.5,0.008416622830089426
ballad,0.5,0.015255128879537085
calm,0.5,0.027354024197790636
children,0.5,0.03129931614939505
christmas,0.5,0.0194634402945818
commercial,0.5,0.01841136244082062
cool,0.5,0.008942661756970016
corporate,0.5,0.03103629668595476
dark,0.5,0.06075749605470805
deep,0.528606979660451,0.07506727961637277
documentary,0.5,0.03235139400315623
drama,0.5,0.02367175170962651
dramatic,0.5,0.008942661756970016
dream,0.5,0.054445028932140975
emotional,0.5,0.09389794844818516
energetic,0.5042918454935622,0.06934118704183252
epic,0.6168776614583762,0.17093732003594797
fast,0.5,0.006838506049447659
film,0.4995850622406639,0.049184639663335084
fun,0.5,0.049184639663335084
funny,0.5,0.006049447659126775
game,0.5,0.006838506049447659
groovy,0.5,0.0194634402945818
happy,0.5118267101562033,0.1114471698878637
heavy,0.5,0.008679642293529721
holiday,0.5,0.00920568122041031
hopeful,0.5,0.009468700683850605
inspiring,0.5,0.03577064702788006
love,0.5038826404582961,0.05798565964950589
meditative,0.5,0.04234613361388743
melancholic,0.5,0.0291951604418727
melodic,0.5,0.0967911625460284
motivational,0.5,0.019726459758022095
movie,0.5,0.02972119936875329
nature,0.5,0.01709626512361915
party,0.5,0.022093634928984744
positive,0.5,0.016833245660178853
powerful,0.5,0.012361914781693845
relaxing,0.5,0.07311941083640189
retro,0.5,0.010783798001052078
romantic,0.5,0.03103629668595476
sad,0.5,0.0386638611257233
sexy,0.5,0.0097317201472909
slow,0.5,0.013940031562335612
soft,0.5,0.033666491320357705
soundscape,0.5,0.009468700683850605
space,0.5,0.024460810099947397
sport,0.5,0.009994739610731194
summer,0.5,0.023934771173066808
trailer,0.5,0.018674381904260916
travel,0.5,0.012887953708574434
upbeat,0.5,0.034718569174118884
uplifting,0.5,0.036559705418200944
